sample,page,detector_id,candidate_type,raw_confidence,x0,y0,x1,y1,width,height,center_x,center_y,has_text,text_word_count,text_char_length,text_uppercase_ratio,text_ends_colon,text_ends_question,text_ends_paren,text_ends_underscore,text_has_digit,font_size,attr_members,attr_checked,attr_filled,attr_aggregate,attr_rows,attr_cols,attr_row,attr_col,attr_caption,nearest_complementary_distance,same_page_candidate_count,row_band_count,row_band_same_type_count,matched_gold,matched_category,matched_gold_name,best_iou,best_coverage
cl01,2,label-detector,LABEL,0.99,316.4013977050781,485.8229064941406,383.4093933105469,490.142906665802,67.00799560546875,4.320000171661377,349.9053955078125,487.9829065799713,1,2,19,1.0,0,1,0,0,0,6.0,,0,0,0,,,,,,23.56,52,4,1,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,49.58311462402344,693.321533203125,285.089111328125,705.321533203125,235.50599670410156,12.0,167.33611297607422,699.321533203125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,15.17,155,4,0,1,VALUE,AGE,0.1491,0.5542
cl01,1,underline-detector,UNDERLINE,0.95,49.58311462402344,668.5599975585938,285.089111328125,680.5599975585938,235.50599670410156,12.0,167.33611297607422,674.5599975585938,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,34.07,155,2,1,1,VALUE,EMAIL,0.4717,0.5565
cl01,1,underline-detector,UNDERLINE,0.95,309.89581298828125,668.5595092773438,545.4168090820312,680.5595092773438,235.52099609375,12.0,427.65631103515625,674.5595092773438,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,66.07,155,2,1,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,49.58311462402344,643.7985229492188,285.089111328125,655.7985229492188,235.50599670410156,12.0,167.33611297607422,649.7985229492188,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,57.6,155,5,1,1,VALUE,CONTACT / WHATSAPP,0.4745,0.5587
cl01,1,underline-detector,UNDERLINE,0.95,309.89581298828125,643.798095703125,545.4168090820312,655.798095703125,235.52099609375,12.0,427.65631103515625,649.798095703125,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,58.74,155,3,1,1,VALUE,CITY,0.3437,0.5587
cl01,1,underline-detector,UNDERLINE,0.95,49.58311462402344,619.037109375,285.089111328125,631.037109375,235.50599670410156,12.0,167.33611297607422,625.037109375,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,54.28,155,7,0,1,VALUE,OCCUPATION,0.47,0.5551
cl01,1,underline-detector,UNDERLINE,0.95,371.45770263671875,510.0860900878906,545.4166870117188,522.0860900878906,173.958984375,12.0,458.43719482421875,516.0860900878906,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,44.69,155,1,0,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,371.45770263671875,475.4200134277344,545.4166870117188,487.4200134277344,173.958984375,12.0,458.43719482421875,481.4200134277344,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,61.8,155,2,0,0,,,0.0,0.0
cl01,1,underline-detector,UNDERLINE,0.95,371.45770263671875,440.7539978027344,545.4166870117188,452.7539978027344,173.958984375,12.0,458.43719482421875,446.7539978027344,0,0,0,0.0,0,0,0,0,0,,,0,0,0,,,,,,62.6,155,2,0,0,,,0.0,0.0
